,Team_1,Team_2,Winner,Margin,Ground,Match Date
4181,Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019"
4182,England,New Zealand,England,119 runs,Chester-le-Street,"Jul 3, 2019"
4183,Afghanistan,West Indies,West Indies,23 runs,Leeds,"Jul 4, 2019"
4184,Ireland,Zimbabwe,Ireland,5 runs,Belfast,"Jul 4, 2019"
4185,Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019"
4186,India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019"
4187,Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019"
4188,Ireland,Zimbabwe,Ireland,6 wickets,Belfast,"Jul 7, 2019"
4189,India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019"
4190,England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019"
4191,England,New Zealand,tied,-,Lord's,"Jul 14, 2019"
4192,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),"Jul 26, 2019"
4193,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),"Jul 28, 2019"
4194,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),"Jul 31, 2019"
4195,West Indies,India,no result,-,Providence,"Aug 8, 2019"
4196,West Indies,India,India,59 runs,Port of Spain,"Aug 11, 2019"
4197,Oman,P.N.G.,Oman,4 wickets,Aberdeen,"Aug 14, 2019"
4198,West Indies,India,India,6 wickets,Port of Spain,"Aug 14, 2019"
4199,Scotland,Oman,Oman,8 wickets,Aberdeen,"Aug 15, 2019"
4200,Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,"Aug 17, 2019"
4201,Scotland,Oman,Scotland,85 runs,Aberdeen,"Aug 18, 2019"
4202,Scotland,P.N.G.,Scotland,38 runs,Aberdeen,"Aug 20, 2019"
4203,Oman,P.N.G.,Oman,4 wickets,Aberdeen,"Aug 21, 2019"
4204,U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,"Sep 13, 2019"
4205,U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,"Sep 17, 2019"
4206,U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,"Sep 19, 2019"
4207,U.S.A.,Namibia,Namibia,139 runs,Lauderhill,"Sep 20, 2019"
4208,Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,"Sep 22, 2019"
4209,Namibia,P.N.G.,Namibia,27 runs,Lauderhill,"Sep 23, 2019"
4210,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,"Sep 30, 2019"
4211,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,"Oct 2, 2019"
4212,Afghanistan,West Indies,West Indies,7 wickets,Lucknow,"Nov 6, 2019"
