,Team_1,Team_2,Winner,Margin,Ground,Match Date
851,India,Zimbabwe,tied,-,Indore,"Nov 18, 1993"
852,South Africa,Sri Lanka,South Africa,78 runs,Guwahati,"Nov 19, 1993"
853,West Indies,Zimbabwe,West Indies,134 runs,Hyderabad (Deccan),"Nov 21, 1993"
854,India,South Africa,India,43 runs,Mohali,"Nov 22, 1993"
855,India,South Africa,India,2 runs,Eden Gardens,"Nov 24, 1993"
856,Sri Lanka,West Indies,West Indies,7 wickets,Eden Gardens,"Nov 25, 1993"
857,India,West Indies,India,102 runs,Eden Gardens,"Nov 27, 1993"
858,Sri Lanka,West Indies,no result,-,Colombo (PSS),"Dec 1, 1993"
859,Australia,South Africa,South Africa,7 wickets,Melbourne,"Dec 9, 1993"
860,Australia,New Zealand,Australia,8 wickets,Adelaide,"Dec 12, 1993"
861,Australia,South Africa,Australia,103 runs,Sydney,"Dec 14, 1993"
862,Australia,New Zealand,Australia,3 runs,Melbourne,"Dec 16, 1993"
863,Sri Lanka,West Indies,Sri Lanka,3 wickets,Colombo (RPS),"Dec 16, 1993"
864,New Zealand,South Africa,New Zealand,4 wickets,Hobart,"Dec 18, 1993"
865,Sri Lanka,West Indies,West Indies,6 wickets,Colombo (SSC),"Dec 18, 1993"
866,Pakistan,Zimbabwe,Pakistan,7 wickets,Karachi,"Dec 24, 1993"
867,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Dec 25, 1993"
868,Pakistan,Zimbabwe,Pakistan,75 runs,Lahore,"Dec 27, 1993"
869,New Zealand,South Africa,New Zealand,9 runs,Brisbane,"Jan 8, 1994"
870,Australia,South Africa,Australia,48 runs,Brisbane,"Jan 9, 1994"
871,Australia,New Zealand,New Zealand,13 runs,Sydney,"Jan 11, 1994"
872,New Zealand,South Africa,South Africa,5 wickets,Perth,"Jan 14, 1994"
873,Australia,South Africa,South Africa,82 runs,Perth,"Jan 16, 1994"
874,Australia,New Zealand,Australia,51 runs,Melbourne,"Jan 19, 1994"
875,Australia,South Africa,South Africa,28 runs,Melbourne,"Jan 21, 1994"
876,Australia,South Africa,Australia,69 runs,Sydney,"Jan 23, 1994"
877,Australia,South Africa,Australia,35 runs,Sydney,"Jan 25, 1994"
878,India,Sri Lanka,India,8 runs,Rajkot,"Feb 15, 1994"
879,West Indies,England,England,61 runs,Bridgetown,"Feb 16, 1994"
880,India,Sri Lanka,India,7 wickets,Hyderabad (Deccan),"Feb 18, 1994"
881,South Africa,Australia,South Africa,5 runs,Johannesburg,"Feb 19, 1994"
882,India,Sri Lanka,Sri Lanka,4 wickets,Jalandhar,"Feb 20, 1994"
883,South Africa,Australia,South Africa,56 runs,Centurion,"Feb 20, 1994"
884,South Africa,Australia,Australia,88 runs,Gqeberha,"Feb 22, 1994"
885,South Africa,Australia,South Africa,7 wickets,Durban,"Feb 24, 1994"
886,West Indies,England,West Indies,3 wickets,Kingston,"Feb 26, 1994"
887,West Indies,England,West Indies,165 runs,Kingstown,"Mar 2, 1994"
888,New Zealand,Pakistan,Pakistan,5 wickets,Dunedin,"Mar 3, 1994"
889,West Indies,England,West Indies,15 runs,Port of Spain,"Mar 5, 1994"
890,New Zealand,Pakistan,Pakistan,36 runs,Auckland,"Mar 6, 1994"
891,West Indies,England,England,5 wickets,Port of Spain,"Mar 6, 1994"
892,New Zealand,Pakistan,Pakistan,11 runs,Wellington,"Mar 9, 1994"
893,New Zealand,Pakistan,tied,-,Auckland,"Mar 13, 1994"
894,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Mar 16, 1994"
895,New Zealand,India,New Zealand,28 runs,Napier,"Mar 25, 1994"
896,New Zealand,India,India,7 wickets,Auckland,"Mar 27, 1994"
897,New Zealand,India,India,12 runs,Wellington,"Mar 30, 1994"
898,New Zealand,India,New Zealand,6 wickets,Christchurch,"Apr 2, 1994"
899,South Africa,Australia,Australia,7 wickets,East London,"Apr 2, 1994"
900,South Africa,Australia,South Africa,26 runs,Gqeberha,"Apr 4, 1994"
901,South Africa,Australia,Australia,36 runs,Cape Town,"Apr 6, 1994"
902,South Africa,Australia,Australia,1 run,Bloemfontein,"Apr 8, 1994"
903,U.A.E.,India,India,71 runs,Sharjah,"Apr 13, 1994"
904,Australia,Sri Lanka,Australia,9 wickets,Sharjah,"Apr 14, 1994"
905,India,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 15, 1994"
906,Australia,New Zealand,Australia,7 wickets,Sharjah,"Apr 16, 1994"
907,U.A.E.,Pakistan,Pakistan,9 wickets,Sharjah,"Apr 17, 1994"
908,New Zealand,Sri Lanka,New Zealand,2 runs,Sharjah,"Apr 18, 1994"
909,Australia,India,India,7 wickets,Sharjah,"Apr 19, 1994"
910,New Zealand,Pakistan,Pakistan,62 runs,Sharjah,"Apr 20, 1994"
911,India,Pakistan,Pakistan,39 runs,Sharjah,"Apr 22, 1994"
912,England,New Zealand,England,42 runs,Birmingham,"May 19, 1994"
913,Sri Lanka,Pakistan,Pakistan,9 wickets,Colombo (RPS),"Aug 3, 1994"
914,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),"Aug 6, 1994"
915,Sri Lanka,Pakistan,Pakistan,19 runs,Colombo (SSC),"Aug 7, 1994"
916,Sri Lanka,Pakistan,Pakistan,5 wickets,Colombo (SSC),"Aug 22, 1994"
917,Sri Lanka,Pakistan,Pakistan,27 runs,Colombo (RPS),"Aug 24, 1994"
918,England,South Africa,England,6 wickets,Birmingham,"Aug 25, 1994"
919,England,South Africa,England,4 wickets,Manchester,"Aug 27-28, 1994"
920,Sri Lanka,India,no result,-,Colombo (RPS),"Sep 4, 1994"
921,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Sep 5, 1994"
922,Australia,Pakistan,Australia,28 runs,Colombo (SSC),"Sep 7, 1994"
923,Australia,India,India,31 runs,Colombo (RPS),"Sep 9, 1994"
924,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (SSC),"Sep 11, 1994"
925,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (PSS),"Sep 13, 1994"
926,Sri Lanka,India,India,6 wickets,Colombo (SSC),"Sep 17, 1994"
927,Australia,South Africa,Australia,6 runs,Lahore,"Oct 12, 1994"
928,Pakistan,Australia,Australia,7 wickets,Multan,"Oct 14, 1994"
929,Pakistan,South Africa,Pakistan,8 wickets,Karachi,"Oct 16, 1994"
930,India,West Indies,West Indies,96 runs,Faridabad,"Oct 17, 1994"
931,Australia,South Africa,Australia,22 runs,Faisalabad,"Oct 18, 1994"
932,India,West Indies,India,8 runs,Wankhede,"Oct 20, 1994"
933,Pakistan,South Africa,Pakistan,39 runs,Rawalpindi,"Oct 20, 1994"
934,Pakistan,Australia,Pakistan,9 wickets,Rawalpindi,"Oct 22, 1994"
935,India,West Indies,India,4 wickets,Chennai,"Oct 23, 1994"
936,Australia,South Africa,Australia,3 wickets,Peshawar,"Oct 24, 1994"
937,New Zealand,West Indies,no result,-,Margao,"Oct 26, 1994"
938,India,New Zealand,India,7 wickets,Vadodara,"Oct 28, 1994"
939,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,"Oct 28, 1994"
940,India,West Indies,West Indies,46 runs,Kanpur,"Oct 30, 1994"
941,Pakistan,Australia,Australia,64 runs,Lahore,"Oct 30, 1994"
942,New Zealand,West Indies,West Indies,135 runs,Guwahati,"Nov 1, 1994"
943,India,New Zealand,India,107 runs,Delhi,"Nov 3, 1994"
944,Zimbabwe,Sri Lanka,Sri Lanka,56 runs,Harare,"Nov 3, 1994"
945,Zimbabwe,Sri Lanka,Zimbabwe,2 runs,Harare,"Nov 5, 1994"
946,India,West Indies,India,72 runs,Eden Gardens,"Nov 5, 1994"
947,Zimbabwe,Sri Lanka,Sri Lanka,191 runs,Harare,"Nov 6, 1994"
948,India,West Indies,India,4 runs,Visakhapatnam,"Nov 7, 1994"
949,India,West Indies,India,8 wickets,Cuttack,"Nov 9, 1994"
950,India,West Indies,India,5 runs,Jaipur,"Nov 11, 1994"
951,Australia,Zimbabwe,Australia,2 wickets,Perth,"Dec 2, 1994"
952,Pakistan,Sri Lanka,Pakistan,6 wickets,Durban,"Dec 2, 1994"
953,Pakistan,Sri Lanka,Pakistan,12 runs,Centurion,"Dec 4, 1994"
954,Australia,England,Australia,28 runs,Sydney,"Dec 6, 1994"
955,South Africa,New Zealand,South Africa,69 runs,Cape Town,"Dec 6, 1994"
956,Australia,Zimbabwe,Australia,84 runs,Hobart,"Dec 8, 1994"
957,New Zealand,Sri Lanka,no result,-,Bloemfontein,"Dec 8, 1994"
958,South Africa,Pakistan,South Africa,7 wickets,Johannesburg,"Dec 10, 1994"
959,South Africa,New Zealand,South Africa,81 runs,Centurion,"Dec 11, 1994"
960,New Zealand,Pakistan,Pakistan,5 wickets,Gqeberha,"Dec 13, 1994"
961,England,Zimbabwe,Zimbabwe,13 runs,Sydney,"Dec 15, 1994"
962,South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein,"Dec 15, 1994"
963,South Africa,Pakistan,Pakistan,8 wickets,Durban,"Dec 17, 1994"
964,New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London,"Dec 18, 1994"
965,New Zealand,Pakistan,Pakistan,5 wickets,East London,"Dec 19, 1994"
966,South Africa,Sri Lanka,South Africa,44 runs,Gqeberha,"Dec 21, 1994"
967,England,Zimbabwe,England,26 runs,Brisbane,"Jan 7, 1995"
968,Australia,England,England,37 runs,Melbourne,"Jan 10, 1995"
969,South Africa,Pakistan,South Africa,37 runs,Cape Town,"Jan 10, 1995"
970,South Africa,Pakistan,South Africa,157 runs,Johannesburg,"Jan 12, 1995"
971,New Zealand,West Indies,West Indies,25 runs,Auckland,"Jan 22, 1995"
972,New Zealand,West Indies,West Indies,41 runs,Wellington,"Jan 25, 1995"
973,New Zealand,West Indies,West Indies,9 wickets,Christchurch,"Jan 28, 1995"
974,Australia,South Africa,Australia,3 wickets,Wellington,"Feb 15, 1995"
975,New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995"
976,India,South Africa,South Africa,14 runs,Hamilton,"Feb 18, 1995"
977,New Zealand,Australia,Australia,27 runs,Auckland,"Feb 19, 1995"
978,Australia,India,India,5 wickets,Dunedin,"Feb 22, 1995"
979,Zimbabwe,Pakistan,tied,-,Harare,"Feb 22, 1995"
980,New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995"
981,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Feb 25, 1995"
982,New Zealand,Australia,Australia,6 wickets,Auckland,"Feb 26, 1995"
983,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,"Feb 26, 1995"
984,West Indies,Australia,West Indies,6 runs,Bridgetown,"Mar 8, 1995"
985,West Indies,Australia,Australia,26 runs,Port of Spain,"Mar 11, 1995"
986,West Indies,Australia,West Indies,133 runs,Port of Spain,"Mar 12, 1995"
987,West Indies,Australia,West Indies,7 wickets,Kingstown,"Mar 15, 1995"
988,West Indies,Australia,West Indies,5 wickets,Georgetown,"Mar 18, 1995"
989,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,"Mar 26, 1995"
990,New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton,"Mar 29, 1995"
991,New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland,"Apr 1, 1995"
992,Bangladesh,India,India,9 wickets,Sharjah,"Apr 5, 1995"
993,Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,"Apr 6, 1995"
994,India,Pakistan,Pakistan,97 runs,Sharjah,"Apr 7, 1995"
995,Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 8, 1995"
996,India,Sri Lanka,India,8 wickets,Sharjah,"Apr 9, 1995"
997,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 11, 1995"
998,India,Sri Lanka,India,8 wickets,Sharjah,"Apr 14, 1995"
999,England,West Indies,West Indies,5 wickets,Nottingham,"May 24-25, 1995"
1000,England,West Indies,England,25 runs,The Oval,"May 26, 1995"
1001,England,West Indies,England,73 runs,Lord's,"May 28, 1995"
1002,Pakistan,Sri Lanka,Pakistan,9 wickets,Gujranwala,"Sep 29, 1995"
1003,Pakistan,Sri Lanka,Sri Lanka,49 runs,Faisalabad,"Oct 1, 1995"
1004,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Rawalpindi,"Oct 3, 1995"
1005,Sri Lanka,West Indies,Sri Lanka,6 runs,Sharjah,"Oct 11, 1995"
1006,Pakistan,Sri Lanka,Pakistan,82 runs,Sharjah,"Oct 12, 1995"
1007,Pakistan,West Indies,Pakistan,15 runs,Sharjah,"Oct 13, 1995"
1008,Pakistan,West Indies,West Indies,4 wickets,Sharjah,"Oct 15, 1995"
1009,Sri Lanka,West Indies,West Indies,4 runs,Sharjah,"Oct 16, 1995"
1010,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Sharjah,"Oct 17, 1995"
1011,Sri Lanka,West Indies,Sri Lanka,50 runs,Sharjah,"Oct 20, 1995"
1012,Zimbabwe,South Africa,South Africa,134 runs,Harare,"Oct 21, 1995"
1013,Zimbabwe,South Africa,South Africa,112 runs,Harare,"Oct 22, 1995"
1014,India,New Zealand,New Zealand,8 wickets,Jamshedpur,"Nov 15, 1995"
1015,India,New Zealand,India,6 wickets,Amritsar,"Nov 18, 1995"
1016,India,New Zealand,India,5 wickets,Pune,"Nov 24, 1995"
1017,India,New Zealand,New Zealand,99 runs,Nagpur,"Nov 26, 1995"
1018,India,New Zealand,India,6 wickets,Brabourne,"Nov 29, 1995"
1019,New Zealand,Pakistan,Pakistan,20 runs,Dunedin,"Dec 15, 1995"
1020,Sri Lanka,West Indies,Sri Lanka,4 wickets,Adelaide,"Dec 15, 1995"
1021,New Zealand,Pakistan,New Zealand,1 wicket,Christchurch,"Dec 17, 1995"
1022,Australia,West Indies,Australia,121 runs,Adelaide,"Dec 17, 1995"
1023,Australia,West Indies,Australia,24 runs,Melbourne,"Dec 19, 1995"
1024,New Zealand,Pakistan,Pakistan,54 runs,Wellington,"Dec 20, 1995"
1025,Australia,Sri Lanka,Australia,5 wickets,Sydney,"Dec 21, 1995"
1026,New Zealand,Pakistan,New Zealand,32 runs,Auckland,"Dec 23, 1995"
1027,Australia,West Indies,Australia,1 wicket,Sydney,"Jan 1, 1996"
1028,Sri Lanka,West Indies,West Indies,70 runs,Hobart,"Jan 3, 1996"
1029,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1996"
1030,Australia,West Indies,West Indies,14 runs,Brisbane,"Jan 7, 1996"
1031,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996"
1032,South Africa,England,South Africa,6 runs,Cape Town,"Jan 9, 1996"
1033,South Africa,England,England,5 wickets,Bloemfontein,"Jan 11, 1996"
1034,Australia,Sri Lanka,Australia,83 runs,Perth,"Jan 12, 1996"
1035,South Africa,England,South Africa,3 wickets,Johannesburg,"Jan 13, 1996"
1036,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,"Jan 14, 1996"
1037,South Africa,England,South Africa,7 wickets,Centurion,"Jan 14, 1996"
1038,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996"
1039,South Africa,England,South Africa,5 wickets,Durban,"Jan 17, 1996"
1040,Australia,Sri Lanka,Australia,18 runs,Melbourne,"Jan 18, 1996"
1041,South Africa,England,South Africa,14 runs,East London,"Jan 19, 1996"
1042,Australia,Sri Lanka,Australia,9 runs,Sydney,"Jan 20, 1996"
1043,South Africa,England,South Africa,64 runs,Gqeberha,"Jan 21, 1996"
1044,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,"Jan 28, 1996"
1045,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,"Jan 31, 1996"
1046,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,"Feb 3, 1996"
1047,England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996"
1048,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996"
1049,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996"
1050,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996"
1051,India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996"
1052,England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996"
1053,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996"
1054,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996"
1055,India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996"
1056,England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996"
1057,Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996"
1058,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996"
1059,England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996"
1060,Kenya,Zimbabwe,no result,-,Patna,"Feb 26, 1996"
1061,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,"Feb 26, 1996"
1062,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,"Feb 27, 1996"
1063,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,"Feb 27, 1996"
1064,India,Australia,Australia,16 runs,Wankhede,"Feb 27, 1996"
1065,Kenya,West Indies,Kenya,73 runs,Pune,"Feb 29, 1996"
1066,Pakistan,South Africa,South Africa,5 wickets,Karachi,"Feb 29, 1996"
1067,Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996"
1068,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996"
1069,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996"
1070,Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996"
1071,Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996"
1072,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996"
1073,India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996"
1074,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996"
1075,Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996"
1076,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996"
1077,India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996"
1078,South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996"
1079,Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996"
1080,India,Sri Lanka,Sri Lanka,-,Eden Gardens,"Mar 13, 1996"
1081,Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996"
1082,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996"
1083,West Indies,New Zealand,West Indies,1 wicket,Kingston,"Mar 26, 1996"
1084,West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,"Mar 29, 1996"
1085,West Indies,New Zealand,West Indies,7 wickets,Port of Spain,"Mar 30, 1996"
1086,Pakistan,Sri Lanka,no result,-,Singapore,"Apr 1, 1996"
1087,Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,"Apr 2, 1996"
1088,India,Sri Lanka,India,12 runs,Singapore,"Apr 3, 1996"
1089,West Indies,New Zealand,New Zealand,4 runs,Georgetown,"Apr 3, 1996"
1090,India,Pakistan,Pakistan,8 wickets,Singapore,"Apr 5, 1996"
1091,West Indies,New Zealand,West Indies,7 wickets,Kingstown,"Apr 6, 1996"
1092,Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,"Apr 7, 1996"
1093,India,Pakistan,Pakistan,38 runs,Sharjah,"Apr 12, 1996"
1094,Pakistan,South Africa,South Africa,143 runs,Sharjah,"Apr 13, 1996"
1095,West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain,"Apr 13, 1996"
1096,India,South Africa,South Africa,80 runs,Sharjah,"Apr 14, 1996"
1097,India,Pakistan,India,28 runs,Sharjah,"Apr 15, 1996"
1098,Pakistan,South Africa,South Africa,8 wickets,Sharjah,"Apr 16, 1996"
1099,India,South Africa,South Africa,5 wickets,Sharjah,"Apr 17, 1996"
1100,India,South Africa,South Africa,38 runs,Sharjah,"Apr 19, 1996"
1101,England,India,no result,-,The Oval,"May 23-24, 1996"
1102,England,India,England,6 wickets,Leeds,"May 25, 1996"
1103,England,India,England,4 wickets,Manchester,"May 26-27, 1996"
1104,Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),"Aug 26, 1996"
1105,Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),"Aug 28, 1996"
1106,England,Pakistan,England,5 wickets,Manchester,"Aug 29, 1996"
1107,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 30, 1996"
1108,England,Pakistan,England,107 runs,Birmingham,"Aug 31, 1996"
1109,India,Zimbabwe,India,7 wickets,Colombo (SSC),"Sep 1, 1996"
1110,England,Pakistan,Pakistan,2 wickets,Nottingham,"Sep 1, 1996"
1111,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Sep 3, 1996"
1112,Australia,India,Australia,3 wickets,Colombo (SSC),"Sep 6, 1996"
1113,Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),"Sep 7, 1996"
1114,India,Pakistan,India,8 wickets,Toronto,"Sep 16, 1996"
1115,India,Pakistan,Pakistan,2 wickets,Toronto,"Sep 17, 1996"
1116,India,Pakistan,India,55 runs,Toronto,"Sep 18, 1996"
1117,India,Pakistan,Pakistan,97 runs,Toronto,"Sep 21, 1996"
1118,India,Pakistan,Pakistan,52 runs,Toronto,"Sep 23, 1996"
1119,Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),"Sep 28, 1996"
1120,Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),"Sep 29, 1996"
1121,South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),"Oct 1, 1996"
1122,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga),"Oct 2, 1996"
1123,Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),"Oct 3, 1996"
1124,Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),"Oct 4, 1996"
1125,Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),"Oct 6, 1996"
1126,India,South Africa,South Africa,47 runs,Hyderabad (Deccan),"Oct 17, 1996"
1127,Australia,South Africa,South Africa,7 wickets,Indore,"Oct 19, 1996"
1128,India,Australia,India,2 wickets,Bengaluru,"Oct 21, 1996"
1129,India,South Africa,South Africa,27 runs,Jaipur,"Oct 23, 1996"
1130,Australia,South Africa,South Africa,2 wickets,Faridabad,"Oct 25, 1996"
1131,India,South Africa,South Africa,5 wickets,Rajkot,"Oct 29, 1996"
1132,Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,"Oct 30, 1996"
1133,Australia,South Africa,South Africa,8 wickets,Guwahati,"Nov 1, 1996"
1134,Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,"Nov 1, 1996"
1135,Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,"Nov 3, 1996"
1136,India,Australia,India,5 runs,Mohali,"Nov 3, 1996"
1137,India,South Africa,India,35 runs,Wankhede,"Nov 6, 1996"
1138,New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,"Nov 7, 1996"
1139,Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,"Nov 8, 1996"
1140,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 10, 1996"
1141,New Zealand,Sri Lanka,tied,-,Sharjah,"Nov 11, 1996"
1142,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,"Nov 12, 1996"
1143,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 13, 1996"
1144,New Zealand,Pakistan,Pakistan,41 runs,Sharjah,"Nov 15, 1996"
1145,Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,"Dec 4, 1996"
1146,Australia,West Indies,Australia,5 wickets,Melbourne,"Dec 6, 1996"
1147,Pakistan,New Zealand,Pakistan,46 runs,Sialkot,"Dec 6, 1996"
1148,Australia,West Indies,Australia,8 wickets,Sydney,"Dec 8, 1996"
1149,Pakistan,New Zealand,New Zealand,7 wickets,Karachi,"Dec 8, 1996"
1150,India,South Africa,India,74 runs,Wankhede,"Dec 14, 1996"
1151,Australia,Pakistan,Pakistan,12 runs,Adelaide,"Dec 15, 1996"
1152,Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,"Dec 15, 1996"
1153,Pakistan,West Indies,West Indies,7 wickets,Adelaide,"Dec 17, 1996"
1154,Australia,Pakistan,Pakistan,4 wickets,Sydney,"Jan 1, 1997"
1155,Zimbabwe,England,Zimbabwe,7 runs,Harare,"Jan 1, 1997"
1156,Pakistan,West Indies,West Indies,6 wickets,Brisbane,"Jan 3, 1997"
1157,Zimbabwe,England,Zimbabwe,131 runs,Harare,"Jan 3, 1997"
1158,Australia,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1997"
1159,Australia,Pakistan,Pakistan,29 runs,Hobart,"Jan 7, 1997"
1160,Pakistan,West Indies,West Indies,5 wickets,Perth,"Jan 10, 1997"
1161,Australia,West Indies,West Indies,4 wickets,Perth,"Jan 12, 1997"
1162,Pakistan,West Indies,Pakistan,8 wickets,Sydney,"Jan 14, 1997"
1163,Australia,Pakistan,Australia,3 wickets,Melbourne,"Jan 16, 1997"
1164,Pakistan,West Indies,Pakistan,4 wickets,Sydney,"Jan 18, 1997"
1165,Pakistan,West Indies,Pakistan,62 runs,Melbourne,"Jan 20, 1997"
1166,South Africa,India,South Africa,39 runs,Bloemfontein,"Jan 23, 1997"
1167,South Africa,Zimbabwe,South Africa,5 wickets,Centurion,"Jan 25, 1997"
1168,India,Zimbabwe,tied,-,Paarl,"Jan 27, 1997"
1169,South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,"Jan 29, 1997"
1170,South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,"Jan 31, 1997"
1171,South Africa,India,South Africa,6 wickets,Gqeberha,"Feb 2, 1997"
1172,South Africa,India,South Africa,6 wickets,East London,"Feb 4, 1997"
1173,India,Zimbabwe,Zimbabwe,3 wickets,Centurion,"Feb 7, 1997"
1174,India,Zimbabwe,India,6 wickets,Benoni,"Feb 9, 1997"
1175,South Africa,India,no result,-,Durban,"Feb 12, 1997"
1176,South Africa,India,South Africa,17 runs,Durban,"Feb 13, 1997"
1177,Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,"Feb 15, 1997"
1178,New Zealand,England,England,4 wickets,Christchurch,"Feb 20, 1997"
1179,New Zealand,England,England,6 wickets,Auckland,"Feb 23, 1997"
1180,New Zealand,England,tied,-,Napier,"Feb 26, 1997"
1181,New Zealand,England,New Zealand,9 runs,Auckland,"Mar 2, 1997"
1182,New Zealand,England,New Zealand,28 runs,Wellington,"Mar 4, 1997"
1183,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch,"Mar 25, 1997"
1184,New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,"Mar 27, 1997"
1185,South Africa,Australia,South Africa,6 wickets,East London,"Mar 29, 1997"
1186,South Africa,Australia,Australia,7 wickets,Gqeberha,"Mar 31, 1997"
1187,South Africa,Australia,South Africa,46 runs,Cape Town,"Apr 2, 1997"
1188,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Apr 3, 1997"
